Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
S;PR;ARAPONGAS;AUTO POSTO PARADA AZUL LTDA; 08.002.928/0001-17;RODOVIA BR 369;S/N;KM. 181;BAIRRO GRANDE PARADA;86706-430;DIESEL;01/01/2026;5,79;;R$ / litro;RAIZEN
S;PR;ARAPONGAS;AUTO POSTO PARADA AZUL LTDA; 08.002.928/0001-17;RODOVIA BR 369;S/N;KM. 181;BAIRRO GRANDE PARADA;86706-430;DIESEL S10;01/01/2026;5,89;;R$ / litro;RAIZEN
S;PR;ARAPONGAS;L&J COMÉRCIO DE COMBUSTÍVEIS LTDA.; 06.050.174/0001-45;RUA CONDOR;863;;CENTRO;86701-210;DIESEL;01/01/2026;6,09;;R$ / litro;VIBRA
S;PR;ARAPONGAS;L&J COMÉRCIO DE COMBUSTÍVEIS LTDA.; 06.050.174/0001-45;RUA CONDOR;863;;CENTRO;86701-210;DIESEL S10;01/01/2026;6,19;;R$ / litro;VIBRA
S;PR;ARAPONGAS;AUTO POSTO PRA FRENTE BRASIL LTDA; 04.868.412/0002-80;RODOVIA BR 369;S/N;KM 181 + 200 MTS;SEDE;86700-000;DIESEL;01/01/2026;6,09;;R$ / litro;IPIRANGA
S;PR;ARAPONGAS;AUTO POSTO PRA FRENTE BRASIL LTDA; 04.868.412/0002-80;RODOVIA BR 369;S/N;KM 181 + 200 MTS;SEDE;86700-000;DIESEL S10;01/01/2026;6,19;;R$ / litro;IPIRANGA
SE;SP;POA;PORTAL DE POA AUTO POSTO LTDA; 04.576.763/0001-36;RODOVIA JOAO AFONSO DE SOUZA CASTELLANO;1890;;VILA JAU;08559-000;DIESEL S10;01/01/2026;6,19;;R$ / litro;BRANCA
SE;SP;POA;AUTO POSTO PEKNY LTDA; 03.136.505/0001-76;RUA JOAO PECKNY;1498;;JARDIM EMILIA;08550-000;DIESEL S10;01/01/2026;6,89;;R$ / litro;VIBRA
SE;SP;POA;AUTO POSTO ESTÂNCIA HIDROMINERAL DE POÁ LTDA.; 03.017.060/0001-05;AVENIDA PREFEITO FRANCISCO RODRIGUES FILHO;300;;CENTRO;08561-200;DIESEL;01/01/2026;6,09;;R$ / litro;BRANCA
SE;SP;POA;CENTRO AUTOMOTIVO REAL LESTE LTDA; 01.456.575/0001-86;AVENIDA LUCAS NOGUEIRA GARCEZ;677;;V STA MARIA;08563-100;DIESEL S10;01/01/2026;6,29;;R$ / litro;IPIRANGA
SE;SP;SUZANO;AUTO POSTO DONA BENTA LTDA; 07.575.173/0001-87;AVENIDA FRANCISCO MARENGO;2455;;JARDIM DONA BENTA;08694-520;DIESEL;01/01/2026;5,57;;R$ / litro;BRANCA
SE;SP;SUZANO;AUTO POSTO DONA BENTA LTDA; 07.575.173/0001-87;AVENIDA FRANCISCO MARENGO;2455;;JARDIM DONA BENTA;08694-520;DIESEL S10;01/01/2026;5,67;;R$ / litro;BRANCA
SE;SP;SUZANO;AUTO POSTO SUZAN PETRO LTDA; 04.409.786/0001-56;AVENIDA VEREADOR JOAO BAPTISTA FITTIPALD;300;;VILA MALUF;08674-210;DIESEL;01/01/2026;5,57;;R$ / litro;BRANCA
SE;SP;SUZANO;AUTO POSTO SUZAN PETRO LTDA; 04.409.786/0001-56;AVENIDA VEREADOR JOAO BAPTISTA FITTIPALD;300;;VILA MALUF;08674-210;DIESEL S10;01/01/2026;5,67;;R$ / litro;BRANCA
SE;SP;SUZANO;VIEGAS AUTO POSTO LTDA; 01.458.172/0001-76;AVENIDA MAJOR PINHEIRO FROES;1215;;VILA MARIA DE MAGGI;08680-000;DIESEL;01/01/2026;5,57;;R$ / litro;BRANCA
SE;SP;SUZANO;VIEGAS AUTO POSTO LTDA; 01.458.172/0001-76;AVENIDA MAJOR PINHEIRO FROES;1215;;VILA MARIA DE MAGGI;08680-000;DIESEL S10;01/01/2026;5,67;;R$ / litro;BRANCA
SE;SP;SUZANO;AUTO POSTO SANTO ANGELO II LTDA; 55.658.181/0001-30;AVENIDA FRANCISCO MARENGO;900;;JD REVISTA;08694-000;DIESEL;01/01/2026;5,59;;R$ / litro;BRANCA
SE;SP;SUZANO;AUTO POSTO SANTO ANGELO II LTDA; 55.658.181/0001-30;AVENIDA FRANCISCO MARENGO;900;;JD REVISTA;08694-000;DIESEL S10;01/01/2026;5,69;;R$ / litro;BRANCA
SE;SP;SUZANO;POSTO QUALITY CASABLANCA LTDA; 04.583.463/0001-84;AVENIDA ARMANDO SALES DE OLIVEIRA;2185;;PARQUE SANTA ROSA;08673-000;DIESEL;01/01/2026;6,24;;R$ / litro;VIBRA
SE;SP;SUZANO;POSTO QUALITY CASABLANCA LTDA; 04.583.463/0001-84;AVENIDA ARMANDO SALES DE OLIVEIRA;2185;;PARQUE SANTA ROSA;08673-000;DIESEL S10;01/01/2026;6,29;;R$ / litro;VIBRA
NE;BA;FEIRA DE SANTANA;MAXDIESEL DERIVADOS DE PETROLEO LTDA; 08.997.756/0001-69;PRACA DA REPUBLICA;S/N;;CENTRO;44001-784;DIESEL S10;01/01/2026;5,74;;R$ / litro;BRANCA
NE;BA;FEIRA DE SANTANA;COMERCIAL DE COMBUSTIVEIS MARTINS LTDA; 16.496.705/0007-77;AVENIDA PRESIDENTE DUTRA;1199;;CAPUCHINHOS;44088-455;DIESEL;01/01/2026;5,89;;R$ / litro;VIBRA
NE;BA;FEIRA DE SANTANA;COMERCIAL DE COMBUSTIVEIS MARTINS LTDA; 16.496.705/0007-77;AVENIDA PRESIDENTE DUTRA;1199;;CAPUCHINHOS;44088-455;DIESEL S10;01/01/2026;5,99;;R$ / litro;VIBRA
NE;BA;FEIRA DE SANTANA;POSTO KALILANDIA LTDA; 15.151.046/0010-70;AVENIDA GOVERNADOR JOAO DURVAL CARNEIRO;2830;;CASEB;44052-004;DIESEL S10;01/01/2026;5,89;;R$ / litro;RAIZEN
NE;BA;FEIRA DE SANTANA;POSTO KALILANDIA LTDA; 15.151.046/0005-02;AVENIDA PRESIDENTE DUTRA;1320;;PONTO CENTRAL;44075-516;DIESEL S10;01/01/2026;5,89;;R$ / litro;RAIZEN
NE;BA;FEIRA DE SANTANA;POSTO DE LUBRIFICANTES PIRAI LTDA; 14.072.664/0001-70;RUA DOUTOR ANTONIO BORJA;145;;CENTRO;44001-688;DIESEL S10;01/01/2026;5,88;;R$ / litro;ALE
NE;BA;FEIRA DE SANTANA;J M C DERIVADOS DE PETROLEO LTDA; 04.681.824/0001-25;AVENIDA GETULIO VARGAS;1751;;CAPUCHINHOS;44076-015;DIESEL S10;01/01/2026;6,09;;R$ / litro;VIBRA
NE;BA;FEIRA DE SANTANA;POSTO CAJUEIRO LTDA; 16.246.555/0001-58;AVENIDA PRESIDENTE DUTRA;3300;;SANTA MONICA;44001-425;DIESEL;01/01/2026;5,99;;R$ / litro;VIBRA
NE;BA;FEIRA DE SANTANA;POSTO CAJUEIRO LTDA; 16.246.555/0001-58;AVENIDA PRESIDENTE DUTRA;3300;;SANTA MONICA;44001-425;DIESEL S10;01/01/2026;6,09;;R$ / litro;VIBRA
NE;BA;FEIRA DE SANTANA;POSTO DE COMBUSTÍVEIS VILA OLIMPICA LTDA.; 04.673.080/0001-05;AVENIDA RIO DE JANEIRO;845;;PEDRA DO DESCANSO;44007-195;DIESEL S10;01/01/2026;5,83;;R$ / litro;BRANCA
NE;PB;JOAO PESSOA;SEIXAS PETROLEO LTDA; 06.372.802/0001-09;RUA COMERCIANTE JOSE GOMES DOS SANTOS;KM 1,7;"LOJA: 101;";PENHA;58047-020;DIESEL;01/01/2026;5,67;;R$ / litro;FEDERAL ENERGIA
NE;PB;JOAO PESSOA;SEIXAS PETROLEO LTDA; 06.372.802/0001-09;RUA COMERCIANTE JOSE GOMES DOS SANTOS;KM 1,7;"LOJA: 101;";PENHA;58047-020;DIESEL S10;01/01/2026;5,69;;R$ / litro;FEDERAL ENERGIA
NE;RN;PARNAMIRIM;ALTO POSTO PASSA E FICA LTDA; 35.649.219/0006-05;AVENIDA DOUTOR MARIO NEGOCIO;1113;;VALE DO SOL;59143-000;DIESEL;01/01/2026;5,99;;R$ / litro;VIBRA
NE;RN;PARNAMIRIM;ALTO POSTO PASSA E FICA LTDA; 35.649.219/0006-05;AVENIDA DOUTOR MARIO NEGOCIO;1113;;VALE DO SOL;59143-000;DIESEL S10;01/01/2026;5,99;;R$ / litro;VIBRA
SE;SP;FRANCA;AUTO POSTO DISTRITO LTDA; 09.294.408/0001-98;AVENIDA DOUTOR SEVERINO TOSTES MEIRELLES;1;;SAO JOAQUIM;14406-004;DIESEL;01/01/2026;5,94;;R$ / litro;RAIZEN
SE;SP;FRANCA;AUTO POSTO DISTRITO LTDA; 09.294.408/0001-98;AVENIDA DOUTOR SEVERINO TOSTES MEIRELLES;1;;SAO JOAQUIM;14406-004;DIESEL S10;01/01/2026;5,99;;R$ / litro;RAIZEN
SE;SP;FRANCA;POSTO TROPICAL DE FRANCA LTDA; 09.032.883/0001-96;AVENIDA MARGARIDA FORNAZIER CARDOSO DE OLIVEIRA;600;;JARDIM TROPICAL;14407-050;DIESEL S10;01/01/2026;5,99;;R$ / litro;BRANCA
SE;SP;FRANCA;MARIO ROBERTO COMERCIO DE COMBUSTIVEIS LTDA; 06.177.220/0001-71;RUA EZIO PUCCI;3071;;DISTRITO INDUSTRIAL;14406-078;DIESEL;01/01/2026;6,09;;R$ / litro;IPIRANGA
CO;DF;BRASILIA;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA; 00.306.597/0015-00;QUADRA QR 516 CONJUNTO 13B LOTE LOTE;1;;SAMAMBAIA SUL;70772-500;GLP;01/01/2026;103,99;;R$ / 13 kg;COPA ENERGIA
SE;SP;FRANCA;AUTO POSTO SOUZA CUNHA LTDA; 04.930.554/0001-49;AVENIDA MAJOR NICACIO;2780;;VILA SANTA CRUZ;14403-460;GLP;01/01/2026;109,99;;R$ / 13 kg;ULTRAGAZ
SE;SP;SUZANO;COMERCIO DE GAS OKABE LTDA; 00.020.528/0001-22;RUA GUILHERME;72;;VL. URUPES;08615-110;GLP;01/01/2026;114,00;;R$ / 13 kg;ULTRAGAZ
CO;DF;BRASILIA;FRANPESO COMERCIO DE GLP LTDA ME; 01.993.515/0001-00;ACESSO D E/SUL - CONJUNTO 12;S/N;LOTE 07;SAMAMBAIA;72314-712;GLP;01/01/2026;105,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;PB;JOAO PESSOA;MURILO JOSE FERREIRA; 01.998.829/0001-98;RUA JORNALISTA RAFAEL MORORO;S?N;;RANGEL;58070-130;GLP;01/01/2026;105,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
S;PR;ARAPONGAS;ROMA-GAS COMERCIO DE GAS LTDA; 02.432.446/0001-10;RUA BIGUATINGA;55;;JARDIM PRIMAVERA;86702-430;GLP;01/01/2026;105,00;;R$ / 13 kg;ULTRAGAZ
SE;SP;SUZANO;COMERCIO DE GAS CASA BRANCA LTDA.; 03.975.391/0001-58;RUA GETULIO MOREIRA SOUZA;298;;CASA BRANCA;08663-300;GLP;01/01/2026;104,99;;R$ / 13 kg;LIQUIGÁS
N;TO;PARAISO DO TOCANTINS;DISTRIBUIDORA GAS LAR LTDA; 04.329.828/0001-49;R BERNARDINO MACIEL;231;;CENTRO;77600-000;GLP;01/01/2026;143,00;;R$ / 13 kg;LIQUIGÁS
SE;MG;PARA DE MINAS;GAS PARAENSE LTDA; 16.697.138/0001-21;RUA OITO DE MAIO;119;;CENTRO;35660-029;GLP;01/01/2026;122,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;RN;NATAL;C SILVIA MARTINS ALVES; 40.788.374/0001-38;AVENIDA NASCIMENTO DE CASTRO;210;BLOCO A;DIX-SEPT ROSADO;59054-180;GLP;01/01/2026;110,00;;R$ / 13 kg;COPA ENERGIA
SE;SP;FRANCA;ANDRADE & OLIVEIRA FRANCA LTDA. - ME.; 68.296.029/0001-04;AVENIDA DISTRITO FEDERAL;1525;;SÃO JOSÉ;14401-342;GLP;01/01/2026;115,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
S;PR;ARAPONGAS;A BRASILEIRA LTDA UTILIDADES DOMESTICAS; 75.398.867/0001-46;RUA EURILEMOS;765;;CENTRO;86701-230;GLP;01/01/2026;105,00;;R$ / 13 kg;BRANCA
S;PR;ARAPONGAS;ARAPON-GAS COMERCIO DE GAS LTDA; 77.343.192/0001-63;RUA GATURAMO;440;;CENTRO;86702-000;GLP;01/01/2026;105,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;SUZANO;MÁRIO ISSAMU YUKUHIRO - ME.; 00.228.658/0001-55;AVENIDA ANTÔNIO MARQUES FIGUEIRA;1690;;VILA FIGUEIRA;08676-000;GLP;01/01/2026;109,00;;R$ / 13 kg;ULTRAGAZ
S;PR;ARAPONGAS;ANA MARIA DO COUTO; 03.303.897/0001-10;RUA IRATAUA;4200;;CJ. FLAMINGOS;86703-300;GLP;01/01/2026;110,00;;R$ / 13 kg;BRANCA
NE;PB;JOAO PESSOA;ROGERIO JORGE DE FRANCA; 07.767.820/0001-52;AVENIDA SAO JUDAS TADEU;460;ANEXO 01;RANGEL;58070-100;GLP;01/01/2026;105,00;;R$ / 13 kg;BAHIANA
S;PR;ARAPONGAS;NECIO GUERRA DA SILVA; 07.903.308/0001-96;RUA FURRIEL;450;;JARDIM COROADOS;86706-020;GLP;01/01/2026;105,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;PB;JOAO PESSOA;ADERVAL DELGADO VITÓRIO; 41.219.676/0001-58;RUA JOSÉ DA SILVA BEZERRA;14;;MANGABEIRA IV;58057-313;GLP;01/01/2026;105,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;FRANCA;JOSE CARLOS MORAIS JUNIOR - ME; 07.715.752/0001-88;AVENIDA MINISTRO  RUI BARBOSA;1461;;VILA REZENDE;14406-530;GLP;01/01/2026;109,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;SUZANO;ROYAL SUZANO COMERCIO DE GAS LTDA; 03.695.846/0001-81;ESTRADA DOS FERNANDES;2579;;CASA BRANCA;08650-010;GLP;01/01/2026;94,99;;R$ / 13 kg;BRANCA
NE;PB;JOAO PESSOA;PANIFICADORA FAUSTINO LTDA.; 07.835.328/0001-77;RUA RENATO GOMES DE OLIVEIRA;30;;MANGABEIRA VII;58058-232;GLP;01/01/2026;105,00;;R$ / 13 kg;BRANCA
SE;SP;POA;APARECIDA FÁTIMA DE ALMEIDA NOVAES - ME.; 08.487.715/0001-22;AVENIDA GETÚLIO VARGAS;270;;CALMON VIANA;08560-000;GLP;01/01/2026;105,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;PI;PICOS;MARCIO HENRIQUE LOPES MONTEIRO; 05.072.545/0001-27;RUA PROJETADA 147;1020;;CATAVENTO;64600-002;GLP;01/01/2026;105,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;BA;FEIRA DE SANTANA;ELKA SUANNY DA COSTA DE CARVALHO; 05.954.908/0001-58;RUA SANTO AMARO;142;;CHÁCARA SÃO COSME;44070-540;GLP;01/01/2026;100,00;;R$ / 13 kg;LIQUIGÁS
CO;DF;BRASILIA;DEPOSITO DE GAS IDEAL LTDA; 09.463.133/0001-79;QUADRA QS 11, CONJUNTO G,  AREAL (AGUAS CLARAS), LOTE;6;;TAGUATINGA;71982-650;GLP;01/01/2026;110,00;;R$ / 13 kg;BRANCA
SE;SP;FRANCA;LUMIGAZ BRASIL COMERCIAL LTDA; 09.210.775/0001-66;AVENIDA HUGO BETARELLO;4520;;PARQUE FRANVILLE;14403-579;GLP;01/01/2026;110,00;;R$ / 13 kg;ULTRAGAZ
NE;PI;PICOS;DISTRIBUIDORA ADONAI DE GÁS LTDA.; 10.493.352/0001-80;AVENIDA SEVERO EULALIO;547;;CANTO DA VARZEA;64600-000;GLP;01/01/2026;105,00;;R$ / 13 kg;BAHIANA
SE;SP;FRANCA;MOREIRA & MOREIRA ALIMENTOS LTDA; 10.589.843/0001-29;AVENIDA GERALDA ROCHA SILVA;3140;;JD. TROPICAL I;14407-032;GLP;01/01/2026;115,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;PB;JOAO PESSOA;MARIA DO SOCORRO AMARAL DA SILVA; 03.723.298/0001-56;RUA ALANA REBECA DA SILVA REGO;S/N;QD.60 LOTE 15;MANGABEIRA;58085-000;GLP;01/01/2026;105,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;POA;A.P.NERY GAS; 09.222.311/0001-70;AVENIDA GETULIO VARGAS;225;;CALMON VIANA;08560-000;GLP;01/01/2026;109,99;;R$ / 13 kg;BRANCA
SE;SP;FRANCA;POSTO JASMIM DE FRANCA LTDA; 07.461.781/0001-60;AVENIDA RICARTE SOARES SILVA;1;;JARDIM MARAMBAIA;14409-648;GLP;01/01/2026;112,99;;R$ / 13 kg;LIQUIGÁS
CO;DF;BRASILIA;GOLD COMERCIO DE GAS LTDA; 11.016.437/0001-30;QUADRA QS 07 AVENIDA AGUAS CLARAS LOTE;34;;TAGUATINGA;71966-700;GLP;01/01/2026;93,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;PB;JOAO PESSOA;MOISES FRANÇOIS DE SOUZA; 11.516.574/0001-33;RUA SEBASTIÃO FRANCISCO MADRUGA;18;BOX 01;MANGABEIRA;58057-412;GLP;01/01/2026;105,00;;R$ / 13 kg;LIQUIGÁS
N;PA;CONCEICAO DO ARAGUAIA;W RODRIGUES FERREIRA & CIA LTDA ME.; 11.122.290/0001-62;RUA DEZ;336;;VILA NOVA;68540-000;GLP;01/01/2026;110,00;;R$ / 13 kg;BRANCA
N;PA;CONCEICAO DO ARAGUAIA;GIRASSOL GÁS LTDA - ME; 34.673.301/0001-06;AVENIDA INT. NORBERTO LIMA;3381;;SÃO LUIZ I;68540-000;GLP;01/01/2026;110,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;DF;BRASILIA;LINO COMERCIO DE GAS LTDA ME; 11.199.138/0001-88;QS 415 CONJUNTO G;SN;LT: 04;SAMAMBAIA NORTE (SAMAMBAIA);72323-527;GLP;01/01/2026;104,99;;R$ / 13 kg;BRANCA
SE;SP;SUZANO;DISTRIBUIDORA GAS E AGUA MIRANDA LTDA; 04.055.416/0001-68;ESTRADA DOS FERNANDES;2195;;CASA BRANCA;08663-020;GLP;01/01/2026;95,99;;R$ / 13 kg;FOGAS
NE;BA;FEIRA DE SANTANA;LUA GAS COMERCIO DE GAS LTDA; 04.763.548/0002-25;RUA VESPAZIANO;800;;TOMBA;44091-166;GLP;01/01/2026;114,90;;R$ / 13 kg;BAHIANA
NE;RN;CAICO;RENDEGAS COMERCIO DE GAS LTDA; 03.543.804/0010-16;RUA PAULINO FERNANDES;924;;SAMANAU;59300-000;GLP;01/01/2026;120,00;;R$ / 13 kg;COPA ENERGIA
CO;DF;BRASILIA;J R G DOS SANTOS GAS LTDA; 15.285.622/0001-80;QUADRA QN 421 CONJUNTO A LOTE;5;;SAMAMBAIA;72325-541;GLP;01/01/2026;110,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;DF;BRASILIA;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA; 00.306.597/0087-77;QUADRA QN 122 CONJUNTO 07 LOTE;6;;SAMAMBAIA;72310-108;GLP;01/01/2026;104,99;;R$ / 13 kg;ULTRAGAZ
SE;SP;FRANCA;GASBOM COMERCIO DE GAS LTDA; 18.331.428/0001-82;AVENIDA ELISA VERZOLA GOSUEN;1836;;PROLONGAMENTO VILA SANTA CRUZ;14403-605;GLP;01/01/2026;109,99;;R$ / 13 kg;COPA ENERGIA
SE;SP;FRANCA;GUALBERTO, PEREIRA E SILVA LTDA - ME; 12.294.548/0001-70;RUA   JOSE CHRISTIANO DE ANDRADE;61;;JARDIM PAINEIRAS;14407-762;GLP;01/01/2026;104,99;;R$ / 13 kg;BRANCA
NE;RN;PARNAMIRIM;F F MEDEIROS DE AQUINO - ME; 10.941.586/0001-42;RUA SANTO  ANTONIO E LATERAL COM A RUA PEDRO LUIZ DA SILVA;84;;BELA PARNAMIRIM;59142-750;GLP;01/01/2026;99,99;;R$ / 13 kg;MINASGAS
NE;RN;CAICO;J R D CAETANO VIEIRA LTDA; 21.709.263/0001-44;RUA RUA MANOEL ANTAO DE MEDEIROS;537;;DARCY FONSECA;59300-000;GLP;01/01/2026;99,99;;R$ / 13 kg;BAHIANA
CO;DF;BRASILIA;OURO GAS LTDA; 23.934.139/0001-08;QUADRA QS 5 RUA 311;.;LOTE 11;AREAL AGUAS CLARAS;71964-180;GLP;01/01/2026;94,99;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;RN;NATAL;NICOLAS RIBEIRO PACHECO; 23.238.302/0001-06;RUA ADOLFO GORDO;2199;;CIDADE DA ESPERANÇA;20436-165;GLP;01/01/2026;90,00;;R$ / 13 kg;LIQUIGÁS
SE;MG;PARA DE MINAS;PARA GAS COMERCIO DE AGUA E GAS LTDA; 26.122.977/0001-75;RUA MERCEDES FERREIRA;141;;SANTOS DUMONT;35660-328;GLP;01/01/2026;95,00;;R$ / 13 kg;COPA ENERGIA
NE;PB;JOAO PESSOA;ELIAS E PATRICIO COMERCIO DE GAS E AGUA LTDA ME; 25.109.649/0001-76;RUA   JOÃO BELO VIEIRA;463;;MANGABEIRA;58056-040;GLP;01/01/2026;105,00;;R$ / 13 kg;BRANCA
SE;MG;PARA DE MINAS;SUPERMERCADO PANELINHA LTDA; 13.876.911/0003-90;RUA MONTES CLAROS;315;;SANTOS DUMONT;35660-332;GLP;01/01/2026;100,00;;R$ / 13 kg;ULTRAGAZ
